country_code,country_name,admin_level,metric,units,year,cases_value,migration_value,TAVG,TMAX,TMIN,PRCP
BRA,Brazil,admin0,Incidence Rate,Cases per Thousand,2000,1.8605875807147,-1761,74.18116999487967,83.67527195027195,68.4058853113205,0.20614782968834655
BRA,Brazil,admin0,Incidence Rate,Cases per Thousand,2001,1.21039177980627,3453,75.90132397585556,85.04068926715986,68.51089729256525,0.13418332773870054
BRA,Brazil,admin0,Incidence Rate,Cases per Thousand,2002,1.16692003493622,6018,74.91693195011588,84.17210358685271,67.89165986656815,0.20421262026079523
BRA,Brazil,admin0,Incidence Rate,Cases per Thousand,2003,1.19324893384907,-16908,77.41094167152791,85.85330278977433,68.74166156659278,0.1491410402845039
BRA,Brazil,admin0,Incidence Rate,Cases per Thousand,2004,1.3749363350565902,-5390,75.196769650149,84.46900398539191,68.12499149987686,0.1491410402845039
BRA,Brazil,admin0,Incidence Rate,Cases per Thousand,2005,1.7314565158737,-42926,76.39918850016555,84.80757105059777,68.04165816654351,0.1433792869274619
BRA,Brazil,admin0,Incidence Rate,Cases per Thousand,2006,1.55808181834315,-34007,75.92902620019866,85.0628047824703,68.14998979985222,0.1491410402845039
BRA,Brazil,admin0,Incidence Rate,Cases per Thousand,2007,1.04759431760261,-30331,75.19575664259908,84.3195218339658,67.3813710588252,0.131214808323904
BRA,Brazil,admin0,Incidence Rate,Cases per Thousand,2008,0.5614352470268721,-35373,76.58278289810548,84.5095467032967,68.40323418865086,0.14681301337551333
BRA,Brazil,admin0,Incidence Rate,Cases per Thousand,2009,0.558778751573415,-29357,77.0134536610343,84.87502358752359,69.15981181647835,0.17739750712250713
BRA,Brazil,admin0,Incidence Rate,Cases per Thousand,2010,0.507694039705533,16843,77.78759026784611,86.03356481481482,69.3364609467961,0.1194802291579785
BRA,Brazil,admin0,Incidence Rate,Cases per Thousand,2011,0.38653633851199,33631,76.20938940092167,84.33238335738336,68.55916363427234,0.22648797036297033
BRA,Brazil,admin0,Incidence Rate,Cases per Thousand,2012,0.386771987676586,43451,75.53297491039426,85.43746693121693,68.20054945054945,0.12103190559440558
BRA,Brazil,admin0,Incidence Rate,Cases per Thousand,2013,0.296116210473594,35308,76.09791346646186,85.45898175631451,68.87441781246129,0.12068067834836997
BRA,Brazil,admin0,Incidence Rate,Cases per Thousand,2014,0.226553550467358,24940,75.4969726062468,84.90234125131279,67.94094169719169,0.10855088253131728
BRA,Brazil,admin0,Incidence Rate,Cases per Thousand,2015,0.1621000804967,4764,75.55974738245317,85.73265145170662,67.68465295403804,0.1085956336238199
BRA,Brazil,admin0,Incidence Rate,Cases per Thousand,2016,0.142225071341972,82589,75.88961763013488,84.46377025351939,67.43195423664194,0.09826697362696811
BRA,Brazil,admin0,Incidence Rate,Cases per Thousand,2017,0.190091922252243,56362,75.24774065540196,85.46900398539191,67.20167407234928,0.0871935142743966
BRA,Brazil,admin0,Incidence Rate,Cases per Thousand,2018,0.185350949155042,67934,75.02843061955964,85.25020318831353,67.090907964821,0.14249945424945423
BRA,Brazil,admin0,Incidence Rate,Cases per Thousand,2019,0.1592665361542609,69186,75.4011008704557,85.47423771726443,67.72624429395843,0.11311225895420939
BRA,Brazil,admin0,Incidence Rate,Cases per Thousand,2020,0.218377546658671,56880,78.218860462242,86.49496366922837,68.38749064986455,0.13842411197190604
BRA,Brazil,admin0,Incidence Rate,Cases per Thousand,2021,0.240580197447803,20376,77.20370967741935,85.80233731872524,68.0541573165312,0.08651791872844501
BRA,Brazil,admin0,Infection Prevalence,per 100 Children,2000,0.0800157315748164,-1761,74.18116999487967,83.67527195027195,68.4058853113205,0.20614782968834655
BRA,Brazil,admin0,Infection Prevalence,per 100 Children,2001,0.0510060823701784,3453,75.90132397585556,85.04068926715986,68.51089729256525,0.13418332773870054
BRA,Brazil,admin0,Infection Prevalence,per 100 Children,2002,0.0490518174231357,6018,74.91693195011588,84.17210358685271,67.89165986656815,0.20421262026079523
BRA,Brazil,admin0,Infection Prevalence,per 100 Children,2003,0.048678246334705,-16908,77.41094167152791,85.85330278977433,68.74166156659278,0.1491410402845039
BRA,Brazil,admin0,Infection Prevalence,per 100 Children,2004,0.0563912889803472,-5390,75.196769650149,84.46900398539191,68.12499149987686,0.1491410402845039
BRA,Brazil,admin0,Infection Prevalence,per 100 Children,2005,0.0722592832910873,-42926,76.39918850016555,84.80757105059777,68.04165816654351,0.1433792869274619
BRA,Brazil,admin0,Infection Prevalence,per 100 Children,2006,0.0664041376062556,-34007,75.92902620019866,85.0628047824703,68.14998979985222,0.1491410402845039
BRA,Brazil,admin0,Infection Prevalence,per 100 Children,2007,0.0422656652166813,-30331,75.19575664259908,84.3195218339658,67.3813710588252,0.131214808323904
BRA,Brazil,admin0,Infection Prevalence,per 100 Children,2008,0.0220218794851874,-35373,76.58278289810548,84.5095467032967,68.40323418865086,0.14681301337551333
BRA,Brazil,admin0,Infection Prevalence,per 100 Children,2009,0.0218737056101318,-29357,77.0134536610343,84.87502358752359,69.15981181647835,0.17739750712250713
BRA,Brazil,admin0,Infection Prevalence,per 100 Children,2010,0.0200073057829721,16843,77.78759026784611,86.03356481481482,69.3364609467961,0.1194802291579785
BRA,Brazil,admin0,Infection Prevalence,per 100 Children,2011,0.0153215712279521,33631,76.20938940092167,84.33238335738336,68.55916363427234,0.22648797036297033
BRA,Brazil,admin0,Infection Prevalence,per 100 Children,2012,0.0157733459984843,43451,75.53297491039426,85.43746693121693,68.20054945054945,0.12103190559440558
