YearMonth,Country,TAVG,TMAX,TMIN,PRCP
2010-01,Brazil,78.80645161290323,86.88888888888889,71.03703703703704,0.11533333333333333
2010-02,Brazil,80.28571428571429,88.66666666666667,72.0,0.035
2010-03,Brazil,82.03225806451613,91.14285714285714,72.33333333333333,0.06888888888888889
2010-04,Brazil,79.86666666666666,87.5,71.8695652173913,0.20833333333333334
2010-05,Brazil,79.38709677419355,87.875,70.5,0.08
2010-06,Brazil,75.44827586206897,81.71428571428571,68.52173913043478,0.31545454545454543
2010-07,Brazil,73.13793103448276,80.14285714285714,66.18181818181819,0.07764705882352942
2010-08,Brazil,72.48387096774194,81.11111111111111,64.52,0.1473913043478261
2010-09,Brazil,74.3103448275862,81.28571428571429,65.8125,0.08714285714285715
2010-10,Brazil,78.74193548387096,89.11111111111111,69.46153846153847,0.09500000000000001
2010-11,Brazil,79.46666666666667,88.71428571428571,69.5,0.018571428571428572
2010-12,Brazil,79.48387096774194,88.25,70.3,0.185
2011-01,Brazil,78.2258064516129,87.5,69.91666666666667,0.14071428571428574
2011-02,Brazil,78.96428571428571,88.57142857142857,71.0909090909091,0.5666666666666667
2011-03,Brazil,79.38709677419355,87.83333333333333,70.88,0.44727272727272727
2011-04,Brazil,77.63333333333334,84.27272727272727,70.46428571428571,0.33045454545454545
2011-05,Brazil,75.41935483870968,81.33333333333333,68.88888888888889,0.4406666666666667
2011-06,Brazil,74.13333333333334,81.0,67.36,0.19346153846153843
2011-07,Brazil,71.5,77.375,65.66666666666667,0.2910714285714286
2011-08,Brazil,72.93548387096774,80.16666666666667,64.82608695652173,0.16115384615384615
2011-09,Brazil,74.9,82.6,65.65217391304348,0.012727272727272728
2011-10,Brazil,77.03225806451613,85.11111111111111,68.71428571428571,0.032
2011-11,Brazil,76.83333333333333,87.1,69.25,0.02666666666666667
2011-12,Brazil,77.54838709677419,89.125,70.0,0.075
2012-01,Brazil,76.51612903225806,88.58333333333333,68.71428571428571,0.21916666666666665
2012-02,Brazil,76.0,86.83333333333333,69.33333333333333,0.31333333333333335
2012-03,Brazil,77.61290322580645,88.0,70.66666666666667,0.04666666666666666
2012-04,Brazil,78.53333333333333,87.66666666666667,71.5,0.03
2012-05,Brazil,76.64516129032258,86.7,69.4,0.14375000000000002
2012-06,Brazil,73.6,80.88888888888889,67.1,0.3809090909090909
2012-07,Brazil,71.53333333333333,80.25,65.6923076923077,0.1758333333333333
2012-08,Brazil,72.19354838709677,81.375,64.16666666666667,0.035454545454545454
2012-09,Brazil,74.33333333333333,84.0,66.25,0.034
2012-10,Brazil,75.16129032258064,86.28571428571429,67.66666666666667,0.03076923076923077
2012-11,Brazil,77.46666666666667,86.66666666666667,69.08333333333333,0.01
2012-12,Brazil,76.8,88.0,68.83333333333333,0.0325
2013-01,Brazil,78.75,86.66666666666667,71.0,0.04
2013-02,Brazil,79.03571428571429,90.0,70.66666666666667,0.021249999999999998
2013-03,Brazil,79.74193548387096,89.71428571428571,71.8125,0.076
2013-04,Brazil,78.8,88.75,70.86666666666666,0.28625
2013-05,Brazil,75.6774193548387,,69.84615384615384,0.148125
2013-06,Brazil,73.4,,68.11111111111111,0.22576923076923078
2013-07,Brazil,71.80645161290323,75.0,66.2,0.2544444444444445
2013-08,Brazil,72.41935483870968,,65.88888888888889,0.1508695652173913
2013-09,Brazil,73.53333333333333,,66.6875,0.07157894736842105
2013-10,Brazil,75.93548387096774,,67.72222222222223,0.049
2013-11,Brazil,76.33333333333333,85.0,68.3913043478261,0.055714285714285716
2013-12,Brazil,77.74193548387096,,69.3,0.06916666666666667
2014-01,Brazil,77.58064516129032,,68.71428571428571,0.0642857142857143
2014-02,Brazil,76.53571428571429,,69.625,0.10533333333333333
2014-03,Brazil,78.16129032258064,,69.76923076923077,0.09727272727272727
2014-04,Brazil,79.0,,70.6923076923077,0.04666666666666667
2014-05,Brazil,75.54838709677419,,69.05,0.277
2014-06,Brazil,73.4,,67.25,0.17391304347826086
2014-07,Brazil,72.3225806451613,,65.85714285714286,0.10095238095238096
2014-08,Brazil,72.12903225806451,81.0,65.66666666666667,0.06280000000000001
2014-09,Brazil,73.43333333333334,82.6,65.0,0.22055555555555556
2014-10,Brazil,74.87096774193549,85.5,67.0,0.09454545454545454
2014-11,Brazil,76.43333333333334,87.75,67.66666666666667,0.03214285714285715
2014-12,Brazil,76.54838709677419,86.53846153846153,69.0,0.027142857142857142
2015-01,Brazil,76.96774193548387,88.0,68.0,0.0425
2015-02,Brazil,78.10714285714286,89.46153846153847,71.0,0.06899999999999999
2015-03,Brazil,76.70967741935483,88.25,70.0,0.2288235294117647
2015-04,Brazil,78.53333333333333,89.38461538461539,,0.155
2015-05,Brazil,76.96774193548387,87.94444444444444,68.5,0.051250000000000004
2015-06,Brazil,72.8,82.07142857142857,69.0,0.19
2015-07,Brazil,71.03333333333333,78.42857142857143,64.25,0.28074074074074074
2015-08,Brazil,71.87096774193549,,64.53571428571429,0.05333333333333334
2015-09,Brazil,74.4,,66.14285714285714,0.05375
2015-10,Brazil,75.38709677419355,,66.56666666666666,0.03875
2015-11,Brazil,77.06896551724138,,67.6896551724138,0.02
2015-12,Brazil,76.87096774193549,85.0,68.38095238095238,0.12
2016-01,Brazil,76.0,,69.5,0.305
2016-02,Brazil,76.48275862068965,,69.3529411764706,0.13166666666666668
2016-03,Brazil,77.96774193548387,,69.61111111111111,0.09571428571428571
2016-04,Brazil,77.04761904761905,,69.6,0.08
2016-05,Brazil,74.55555555555556,,68.14285714285714,0.1742857142857143
2016-06,Brazil,73.8,79.0,66.17391304347827,0.08
2016-07,Brazil,73.0,85.0,64.28571428571429,0.037647058823529415
2016-08,Brazil,74.03225806451613,84.0,64.18518518518519,0.037142857142857144
2016-09,Brazil,75.06896551724138,,65.25925925925925,0.04727272727272727
2016-10,Brazil,77.15384615384616,,66.84615384615384,0.027999999999999997
2016-11,Brazil,77.8,,67.7,
2016-12,Brazil,77.76666666666667,,68.52631578947368,0.013333333333333334
2017-01,Brazil,77.83870967741936,,68.95238095238095,0.011666666666666667
2017-02,Brazil,78.46428571428571,,69.46428571428571,0.0125
2017-03,Brazil,78.19354838709677,,70.03703703703704,0.10181818181818181
2017-04,Brazil,76.9,,69.29411764705883,0.20705882352941174
2017-05,Brazil,75.3225806451613,86.0,68.42307692307692,0.12000000000000001
2017-06,Brazil,73.16666666666667,,66.76666666666667,0.13733333333333334
2017-07,Brazil,69.83870967741936,,63.74193548387097,0.2533333333333333
2017-08,Brazil,71.80645161290323,,63.903225806451616,0.04722222222222222
2017-09,Brazil,72.63333333333334,,63.666666666666664,0.07857142857142857
2017-10,Brazil,74.80645161290323,,66.03333333333333,0.051818181818181826
2017-11,Brazil,76.06666666666666,89.0,67.42307692307692,0.02
2017-12,Brazil,77.93548387096774,,68.71428571428571,0.005
2018-01,Brazil,77.03225806451613,,68.63333333333334,0.17066666666666666
2018-02,Brazil,76.21428571428571,,69.125,0.5116666666666667
2018-03,Brazil,76.54838709677419,,68.63333333333334,0.11777777777777779
2018-04,Brazil,74.46666666666667,,67.88461538461539,0.2746153846153846
2018-05,Brazil,73.54838709677419,,66.44827586206897,0.19772727272727272
2018-06,Brazil,71.86666666666666,,65.21739130434783,0.08333333333333333
2018-07,Brazil,71.87096774193549,82.0,63.851851851851855,0.061666666666666675
2018-08,Brazil,73.45161290322581,,64.77777777777777,0.044444444444444446
2018-09,Brazil,74.46666666666667,85.5,65.66666666666667,0.02666666666666667
2018-10,Brazil,76.38709677419355,87.0,67.5925925925926,0.04
2018-11,Brazil,77.13333333333334,88.0,68.70833333333333,0.02
2018-12,Brazil,77.35483870967742,,68.55172413793103,0.16142857142857145
2019-01,Brazil,77.96774193548387,,69.03571428571429,0.05714285714285715
2019-02,Brazil,77.21428571428571,,70.23076923076923,0.17823529411764708
2019-03,Brazil,77.38709677419355,,70.24,0.09538461538461539
2019-04,Brazil,76.86666666666666,,69.82758620689656,0.23769230769230767
2019-05,Brazil,76.45161290322581,,69.42857142857143,0.09181818181818181
2019-06,Brazil,73.46666666666667,,66.76,0.2168421052631579
2019-07,Brazil,71.25806451612904,,65.41666666666667,0.23149999999999998
2019-08,Brazil,70.64516129032258,,63.92857142857143,0.1052
2019-09,Brazil,73.03333333333333,,65.37931034482759,0.05380952380952381
2019-10,Brazil,75.3225806451613,,65.96774193548387,0.08222222222222222
2019-11,Brazil,77.2,,67.75,0.005
2019-12,Brazil,78.0,90.0,68.75,0.0025
2020-01,Brazil,78.80645161290323,89.66666666666667,71.0,0.45249999999999996
2020-02,Brazil,79.24137931034483,90.77777777777777,,0.04352941176470588
2020-03,Brazil,78.16129032258064,89.11764705882354,,0.26199999999999996
2020-04,Brazil,81.16666666666667,86.38461538461539,,0.10800000000000001
2020-05,Brazil,78.96774193548387,84.14285714285714,,0.15000000000000002
2020-06,Brazil,75.76666666666667,81.6,,0.18444444444444447
2020-07,Brazil,74.35483870967742,81.5,,0.1759090909090909
2020-08,Brazil,77.12903225806451,82.36363636363636,,0.03882352941176471
2020-09,Brazil,77.16666666666667,85.0909090909091,,0.08076923076923077
2020-10,Brazil,79.66666666666667,89.75,,0.01
2020-11,Brazil,79.16666666666667,89.54545454545455,,0.08636363636363636
2020-12,Brazil,79.03225806451613,88.0,,0.06875
2021-01,Brazil,79.54838709677419,87.0,,0.02
2021-02,Brazil,78.68,,,0.09428571428571428
2021-03,Brazil,77.96774193548387,,,0.21714285714285714
2021-04,Brazil,78.4,,,0.14105263157894737
2021-05,Brazil,75.35483870967742,,,0.17904761904761907
2021-06,Brazil,74.86666666666666,,,0.061111111111111116
2021-07,Brazil,73.96774193548387,,,0.05538461538461538
2021-08,Brazil,74.3225806451613,,67.0,0.08333333333333333
2021-09,Brazil,76.73333333333333,,,0.02
2021-10,Brazil,78.51612903225806,,,0.06285714285714286
2021-11,Brazil,79.7,,,0.0
2021-12,Brazil,78.38709677419355,92.0,,0.10400000000000001
2022-01,Brazil,77.45161290322581,,,0.17076923076923076
2022-02,Brazil,78.32142857142857,,,0.05
2022-03,Brazil,77.45161290322581,,,0.28428571428571425
2022-04,Brazil,76.4,86.0,,0.25636363636363635
2022-05,Brazil,74.54838709677419,84.27272727272727,,0.22260869565217392
2022-06,Brazil,72.23333333333333,80.76923076923077,,0.22043478260869567
2022-07,Brazil,70.96774193548387,80.0,,0.12875
2022-08,Brazil,70.80645161290323,80.4,,0.22571428571428573
2022-09,Brazil,73.26666666666667,,,
2022-10,Brazil,75.80645161290323,,,0.05
2022-11,Brazil,76.46666666666667,89.0,,0.18777777777777777
2022-12,Brazil,76.70967741935483,,,0.124
2023-01,Brazil,76.51612903225806,,,0.138
2023-02,Brazil,77.75,,,0.1775
2023-03,Brazil,76.64516129032258,,,0.22571428571428573
2023-04,Brazil,76.26666666666667,,,0.08333333333333333
2023-05,Brazil,75.80645161290323,,,0.2826666666666667
2023-06,Brazil,72.9,,,0.6883333333333334
2023-07,Brazil,72.48387096774194,,,0.10700000000000001
2023-08,Brazil,72.74193548387096,,,0.14666666666666667
2023-09,Brazil,73.56666666666666,,,0.12916666666666668
2023-10,Brazil,76.2258064516129,,,0.01
2023-11,Brazil,77.43333333333334,88.0,,0.4066666666666667
2023-12,Brazil,77.38709677419355,,,0.14666666666666667
2024-01,Brazil,78.38709677419355,,,0.2
2024-02,Brazil,78.65517241379311,,,0.257
2024-03,Brazil,79.11111111111111,,,0.22818181818181815
2024-04,Brazil,77.63333333333334,,,0.27625
2024-05,Brazil,76.06666666666666,,,0.2
2024-06,Brazil,73.4,,,0.2405263157894737
2024-07,Brazil,71.48387096774194,,,0.10555555555555557
2024-08,Brazil,72.36666666666666,,,0.06333333333333334
2024-09,Brazil,73.3,,,0.335
2024-10,Brazil,75.87096774193549,,,0.014285714285714287
2024-11,Brazil,77.07692307692308,89.0,,0.04
2024-12,Brazil,77.63333333333334,,,0.14750000000000002
2025-01,Brazil,77.96774193548387,,,0.33285714285714285
2025-02,Brazil,76.39285714285714,,,0.2409090909090909
2025-03,Brazil,76.74193548387096,,,0.6857142857142857
2025-04,Brazil,78.23333333333333,,,0.18285714285714286
2025-05,Brazil,75.70967741935483,,,0.41416666666666674
2025-06,Brazil,72.7,,,0.32210526315789473
2025-07,Brazil,71.06451612903226,,,
2025-08,Brazil,71.375,,,
2000-01,Colombia,54.064516129032256,66.19047619047619,44.166666666666664,0.018799999999999997
2000-02,Colombia,55.13793103448276,66.05,44.57142857142857,0.18555555555555556
2000-03,Colombia,55.87096774193548,67.0,47.111111111111114,0.10206896551724137
2000-04,Colombia,55.96666666666667,66.75,47.18181818181818,0.05590909090909091
2000-05,Colombia,56.38709677419355,66.23809523809524,49.0,0.13799999999999998
2000-06,Colombia,56.266666666666666,66.88235294117646,48.041666666666664,0.092
2000-07,Colombia,54.87096774193548,65.19047619047619,45.458333333333336,0.056499999999999995
2000-08,Colombia,55.29032258064516,65.95454545454545,45.5,0.035217391304347825
