YearMonth,Country,TAVG,TMAX,TMIN,PRCP
2000-01,Brazil,76.61290322580645,87.15384615384616,70.3157894736842,0.1811764705882353
2000-02,Brazil,76.72413793103448,88.75,71.0,0.3194117647058823
2000-03,Brazil,77.2258064516129,86.84615384615384,70.8125,0.0421052631578947
2000-04,Brazil,75.8,85.41666666666667,69.45,0.2566666666666666
2000-05,Brazil,74.2258064516129,82.66666666666667,68.4074074074074,0.1726086956521739
2000-06,Brazil,72.13333333333334,79.9090909090909,67.04166666666667,0.2961538461538461
2000-07,Brazil,70.6774193548387,78.7,66.20689655172414,0.2333333333333333
2000-08,Brazil,71.06896551724138,79.54545454545455,65.81818181818181,0.3263636363636363
2000-09,Brazil,72.03333333333333,79.76923076923077,66.88888888888889,0.2873684210526315
2000-10,Brazil,73.20689655172414,83.53846153846153,67.81818181818181,0.0763636363636363
2000-11,Brazil,75.14285714285714,86.3076923076923,68.44444444444444,0.0322222222222222
2000-12,Brazil,75.3225806451613,85.5,68.66666666666667,0.25
2001-01,Brazil,76.87096774193549,87.83333333333333,69.05555555555556,0.0233333333333333
2001-02,Brazil,79.5,90.11111111111111,70.04761904761905,0.0575
2001-03,Brazil,77.6774193548387,87.23076923076923,70.23529411764706,0.5599999999999999
2001-04,Brazil,75.96296296296296,83.7,69.89473684210526,0.1922222222222222
2001-05,Brazil,77.29166666666667,85.76923076923077,69.875,0.05375
2001-06,Brazil,72.8,80.84615384615384,66.73076923076923,0.2118518518518518
2001-07,Brazil,71.65217391304348,79.0,66.26666666666667,0.1775
2001-08,Brazil,71.48387096774194,81.07142857142857,64.58333333333333,0.0888461538461538
2001-09,Brazil,74.33333333333333,83.53846153846153,66.28571428571429,0.1109090909090909
2001-10,Brazil,76.41935483870968,85.92307692307692,68.52941176470588,0.049375
2001-11,Brazil,78.1,87.76470588235294,69.66666666666667,0.0533333333333333
2001-12,Brazil,78.72413793103448,87.7,70.96,0.031578947368421
2002-01,Brazil,75.92902620019866,85.0628047824703,68.14998979985222,0.1491410402845039
2002-02,Brazil,74.0,85.0628047824703,68.14998979985222,0.1491410402845039
2002-03,Brazil,76.0,85.0,70.0,0.81
2002-04,Brazil,75.92902620019866,85.0628047824703,68.14998979985222,0.1491410402845039
2002-05,Brazil,75.92902620019866,85.0628047824703,68.14998979985222,0.1491410402845039
2002-06,Brazil,71.5,81.0,65.0,0.1491410402845039
2002-07,Brazil,72.0,78.5,67.5,0.1491410402845039
2002-08,Brazil,75.92902620019866,85.0628047824703,68.14998979985222,0.1491410402845039
2002-09,Brazil,75.92902620019866,85.0628047824703,68.14998979985222,0.1491410402845039
2002-10,Brazil,74.0,85.0628047824703,67.0,0.1491410402845039
2002-11,Brazil,75.92902620019866,85.0628047824703,68.14998979985222,0.1491410402845039
2002-12,Brazil,75.92902620019866,85.0628047824703,68.14998979985222,0.1491410402845039
2003-01,Brazil,75.92902620019866,85.0628047824703,68.14998979985222,0.1491410402845039
2003-02,Brazil,81.0,87.0,69.0,0.1491410402845039
2003-03,Brazil,75.92902620019866,85.0628047824703,68.14998979985222,0.1491410402845039
2003-04,Brazil,82.0,85.0628047824703,71.0,0.1491410402845039
2003-05,Brazil,81.0,86.0,69.0,0.1491410402845039
2003-06,Brazil,72.85714285714286,79.8,67.0,0.1491410402845039
2003-07,Brazil,75.92902620019866,85.0628047824703,68.14998979985222,0.1491410402845039
2003-08,Brazil,75.92902620019866,85.0628047824703,68.14998979985222,0.1491410402845039
2003-09,Brazil,81.5,87.0,69.0,0.1491410402845039
2003-10,Brazil,75.92902620019866,85.0628047824703,68.14998979985222,0.1491410402845039
2003-11,Brazil,75.92902620019866,85.0628047824703,68.14998979985222,0.1491410402845039
2003-12,Brazil,75.0,95.0,71.0,0.1491410402845039
2004-01,Brazil,73.0,81.0,68.14998979985222,0.1491410402845039
2004-02,Brazil,75.92902620019866,85.0628047824703,68.14998979985222,0.1491410402845039
2004-03,Brazil,75.92902620019866,85.0628047824703,68.14998979985222,0.1491410402845039
2004-04,Brazil,75.92902620019866,85.0628047824703,68.14998979985222,0.1491410402845039
2004-05,Brazil,75.92902620019866,85.0628047824703,68.14998979985222,0.1491410402845039
2004-06,Brazil,74.0,85.0628047824703,68.0,0.1491410402845039
2004-07,Brazil,75.92902620019866,85.0628047824703,68.14998979985222,0.1491410402845039
2004-08,Brazil,72.0,82.0,68.0,0.1491410402845039
2004-09,Brazil,75.92902620019866,85.0628047824703,68.14998979985222,0.1491410402845039
2004-10,Brazil,75.92902620019866,85.0628047824703,68.14998979985222,0.1491410402845039
2004-11,Brazil,75.92902620019866,85.0628047824703,68.14998979985222,0.1491410402845039
2004-12,Brazil,75.92902620019866,85.0628047824703,68.14998979985222,0.1491410402845039
2005-01,Brazil,75.92902620019866,85.0628047824703,68.14998979985222,0.1491410402845039
2005-02,Brazil,75.92902620019866,85.0628047824703,68.14998979985222,0.1491410402845039
2005-03,Brazil,75.92902620019866,85.0628047824703,68.14998979985222,0.1491410402845039
2005-04,Brazil,75.92902620019866,85.0628047824703,68.14998979985222,0.1491410402845039
2005-05,Brazil,80.5,82.0,68.0,0.1491410402845039
2005-06,Brazil,75.92902620019866,85.0628047824703,68.14998979985222,0.1491410402845039
2005-07,Brazil,75.92902620019866,85.0628047824703,68.14998979985222,0.1491410402845039
2005-08,Brazil,75.92902620019866,85.0628047824703,68.14998979985222,0.1491410402845039
2005-09,Brazil,77.0,85.0628047824703,67.0,0.08
2005-10,Brazil,75.92902620019866,85.0628047824703,68.14998979985222,0.1491410402845039
