Country,City ,month ,Avg. Temperature °C (°F),Min. Temperature °C (°F),Max. Temperature °C (°F),Precipitation / Rainfall mm (in),Humidity(%),Rainy days (d),avg. Sun hours (hours)
Brazil,Roraima,August,"25.7 °C
(78.2) °F","22.8 °C
(73) °F","29.4 °C
(84.9) °F","163
(6)",86%,16,7.4
Brazil,Roraima,September,"26.6 °C
(79.9) °F","23.2 °C
(73.8) °F","30.8 °C
(87.4) °F","102
(4)",81%,12,8.6
Brazil,Roraima,October,"27.6 °C
(81.7) °F","23.9 °C
(75) °F","32 °C
(89.5) °F","78
(3)",74%,10,9.2
Brazil,Roraima,November,"27.6 °C
(81.7) °F","24.1 °C
(75.4) °F","31.9 °C
(89.4) °F","93
(3)",74%,10,9
Brazil,Roraima,December,"27.5 °C
(81.5) °F","24.2 °C
(75.5) °F","31.6 °C
(88.8) °F","65
(2)",70%,8,8.5
Brazil,Tocantins,January,"25.6 °C
(78.1) °F","22.6 °C
(72.6) °F","29.7 °C
(85.4) °F","355
(13)",82%,19,8.5
Brazil,Tocantins,February,"25.6 °C
(78.1) °F","22.5 °C
(72.5) °F","29.7 °C
(85.4) °F","324
(12)",82%,18,8.1
Brazil,Tocantins,March,"25.6 °C
(78.1) °F","22.5 °C
(72.5) °F","29.7 °C
(85.5) °F","317
(12)",83%,19,7.7
Brazil,Tocantins,April,"26 °C
(78.9) °F","22.5 °C
(72.6) °F","30.3 °C
(86.5) °F","198
(7)",78%,14,8.3
Brazil,Tocantins,May,"26.8 °C
(80.3) °F","22.6 °C
(72.7) °F","31.5 °C
(88.6) °F","59
(2)",67%,5,9.6
Brazil,Tocantins,June,"26.7 °C
(80.1) °F","21.5 °C
(70.6) °F","32.2 °C
(90) °F","3
(0)",54%,0,10.2
Brazil,Tocantins,July,"26.8 °C
(80.2) °F","21 °C
(69.8) °F","32.6 °C
(90.7) °F","1
(0)",46%,0,10.4
Brazil,Tocantins,August,"28.1 °C
(82.6) °F","22 °C
(71.6) °F","34.2 °C
(93.6) °F","1
(0)",39%,0,10.6
Brazil,Tocantins,September,"29.6 °C
(85.3) °F","24 °C
(75.2) °F","35.3 °C
(95.5) °F","28
(1)",41%,3,10.6
Brazil,Tocantins,October,"28.3 °C
(83) °F","23.9 °C
(75.1) °F","33.3 °C
(91.9) °F","134
(5)",60%,12,9.9
Brazil,Tocantins,November,"26.5 °C
(79.7) °F","23.1 °C
(73.6) °F","30.8 °C
(87.5) °F","249
(9)",77%,16,9.3
Brazil,Tocantins,December,"26 °C
(78.9) °F","22.8 °C
(73.1) °F","30.2 °C
(86.3) °F","308
(12)",80%,18,9.2
